"# 单位: 人民币百万元(2001-2012 財报原单位为千元,已÷1000;2013 起财报原单位即百万)。来源: 招股说明书会计师报告(2001-2003)+上市至今全部年报(2004-2025)逐行解析,见 _extract/*.json 与 _build_from_pdf.py。空格 = 该年无此科目。 流动/非流动双现科目(借款/应付票据/租赁负债/递延收入/FVPL/定期存款等)为两段合计。"
科目,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
流动所得税负债,,,7.115,5.648,28.766,47.472,71.133,47.307,85.216,341.103,708.725,419.872,1318,461,1608,5219,8708,10210,9733,12134,12506,13488,17664,16586,18558
其他税项负债,3.026,7.021,32.679,59.65,13.256,17.715,134.746,103.933,216.978,225.188,179.499,540.095,593,566,462,745,934,1049,1245,2149,2240,4698,4372,4038,3723
递延收入,,0.523,3.676,63.222,234.135,319.339,335.238,682.168,1736.001,2760.571,5016.296,8114.739,11841,19631,24126,33241,44523,49452,68283,89505,92372,85719,89603,106333,112519
借款,,,,,,,292.184,,202.322,5298.947,7999.44,3182.751,5912,8722,24351,69827,97790,114271,126952,126387,155939,175248,197356,199406,250987
应付票据,,,,,,,,,,,3733.331,7516.766,9141,26862,40978,39670,34115,65018,93861,122057,145590,159115,151262,139209,136746
租赁负债,,,,,,,,,,,,,,,,,,,11707,14020,21947,24778,22622,19497,18666
其他金融负债,,,,,,,,,,,,,,,,2576,2154,4506,11099,14821,9466,9511,13339,10539,6871
以实物分派的应付股息,,,,,,,,,,,,,,,,,,,,,102451,147965,0,,
长期应付款项,,,,,,48.148,,566.26,274.05,0.0,1859.808,1508.578,1600,2052,3626,4935,3862,4797,3577,9910,9966,9067,12169,10201,10544
递延所得税负债,,,,,0.81,16.821,59.944,78.368,369.983,967.211,939.534,1311.562,1441,2942,3668,5153,5975,10964,12841,16061,13142,12162,17635,18546,21684
流动负债合计,17.218,12.658,102.771,211.083,497.899,867.847,1649.617,2091.597,4563.079,13022.045,21183.348,20664.996,33267,50035,124406,101197,151740,202435,240156,269079,403098,434204,352157,396909,412751
非流动负债合计,,,,,,64.969,59.944,644.628,644.033,967.211,6532.673,12442.549,15505,39007,60312,108455,125839,164879,225006,286303,332573,361067,351408,330190,385170
负债总额,17.218,15.716,103.759,211.083,498.709,932.816,1709.561,2736.225,5207.112,13989.256,27716.021,33107.545,48772,89042,184718,209652,277579,367314,465162,555382,735671,795271,703565,727099,797921
权益及负债总额,65.542,213.666,575.716,2863.321,3427.122,4650.572,6985.004,9855.557,17505.765,35830.114,56804.365,75255.811,107235,171166,306818,395899,554672,723521,953986,1333425,1612364,1578131,1577246,1780995,2038986
