科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
应付票据,60839307.48,74983280.55,130834693.54,75245123.41,226820276.70,295410246.91,335613503.72,193633037.89,213100373.78,298523364.64,271995995.68,358691867.77,1141998144.16,439212060.32,362245276.53,458287908.44,680824130.72,825335580.82,824259451.60,831403912.64
应付账款,218127557.92,277345727.40,216880372.12,254751600.37,295489348.37,334471713.24,373572024.45,401515797.93,401025889.45,562054047.72,508022959.72,659647151.47,,629219105.18,562735655.69,811476321.95,815119287.05,970471497.27,948363711.33,1303751900.19
预收款项,20461176.32,26058304.98,30618734.04,21195882.21,43638512.31,33327789.88,55549658.16,58788728.50,51850499.31,60456942.24,79108828.29,89292923.76,142852143.35,87636015.63,,,,,148623.85,68682.48
合同负债,,,,,,,,,,,,,,,90495730.90,111177743.89,100437931.82,132063418.19,135472238.10,140248402.41
应付职工薪酬,8395342.10,18122122.44,22749756.87,21140546.52,18097410.92,13488771.94,29182038.93,49540022.43,63977803.16,75213236.14,80203676.76,71650047.43,75786762.23,88995801.79,79903209.38,82339137.30,107043509.29,97039629.28,108198526.93,118116928.80
应交税费,2019796.95,23134658.05,190046.21,-4937116.12,-14443038.81,-4765236.48,-35411142.42,-40533656.95,24582916.67,21874475.12,168075396.58,15790226.81,15597665.26,17707005.96,19150943.40,15308163.17,31372520.73,24548890.55,18655962.55,24139199.54
  其中：应付利息,1339667.77,554372.89,2251634.66,1546439.70,2732298.68,2753931.26,5989598.31,3658289.18,5739004.20,38089005.56,2401857.71,1722482.17,1793664.57,,,,,,,
  其中：应付股利,5000000.00,5000000.00,5000000.00,5599684.43,20196562.28,599684.43,599684.43,10.70,7652119.78,3500000.00,,,,,6703199.10,,,,1875000.00,
其他应付款,110000167.22,106584120.14,147202394.00,168979604.68,317402349.91,240370894.26,164071936.17,135322066.54,177069528.85,201913640.96,211780230.42,184648039.78,218236186.44,291974994.04,194111894.10,224273071.50,415497752.95,270847032.57,264156791.74,335643746.44
一年内到期的非流动负债,151954034.60,139448120.00,190196013.16,196004725.00,431427847.50,325906503.57,279644168.19,258283016.82,241821834.75,32202374.30,,,32844586.42,30600774.38,,285424.82,15697117.04,232376920.51,56216435.39,136987383.85
其他流动负债,745694766.67,18210750.34,309018858.31,,,,,,,11.70,,,,,210855407.78,20136158.54,16574404.27,12394910.42,77830373.49,14282886.71
流动负债合计,1393320767.25,1343367646.79,2041314064.08,1594453046.06,2599372997.43,2489539347.76,2260119425.84,2284223216.58,3237338099.95,3866146353.33,3001588945.16,2582442739.19,2829315487.86,2436414891.59,2140212177.58,2250268342.96,2679673075.43,2825312699.03,2717114301.28,3227810241.78
长期借款,807690450.00,803124966.25,736455178.54,818491310.01,407045937.50,346410000.00,574730698.77,484848618.52,159718569.75,100777919.75,116713919.75,113487919.75,102796666.66,50024786.24,,79878960.12,372204166.31,287839942.97,275046976.42,276479125.16
应付债券,,,,,,,,,,,,,,,,,,,,
租赁负债,,,,,,,,,,,,,,,,,128194.40,29938266.79,28799989.64,35671773.17
长期应付款,,,,90035279.56,87281425.23,389685792.42,360878503.35,240801473.53,31785812.50,85623310.88,91469894.60,86158654.36,90496782.56,90496782.56,,,,,,
专项应付款,,465966204.00,869466204.00,970098352.90,167861553.63,170134139.48,10.70,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,1283418.97
递延收益,,,,,,,,,632606280.19,643376739.20,641781703.49,623138107.55,569133474.65,503239636.97,454001405.82,390531242.70,342924648.36,309780455.55,291927803.22,297721596.96
递延所得税负债,,,1654939.79,25781451.52,19716251.75,13442817.23,1927160.24,2666003.13,1486369.04,33958385.10,9485617.35,5269730.46,5383213.86,5951052.39,6689961.10,6536367.11,14330729.92,43408870.14,40421898.93,37805969.93
其他非流动负债,,19698666.67,19698666.67,,753000000.00,730675631.13,737267947.57,619560442.40,,,,,,,,,,,,
非流动负债合计,807690450.00,1288789836.92,1607576322.33,1904406393.99,1434905168.11,1650348380.26,1674804309.93,1347876537.58,825597031.48,863736354.93,859451135.19,828054412.12,767810137.73,649712258.16,460691366.92,476946569.93,729587738.99,670967535.45,636196668.21,648961884.19
负债合计,2201011217.25,2632157483.71,3648890386.41,3498859440.05,4034278165.54,4139887728.02,3934923735.77,3632099754.16,4062935131.43,4729882708.26,3861040080.35,3410497151.31,3597125625.59,3086127149.75,2600903544.50,2727214912.89,3409260814.42,3496280234.48,3353310969.49,3876772125.97
