# 分众传媒 合并资产负债表 2012-2025 · 单位:元 · 血缘同利润表
# 反向购买:合并报表股本=会计购买方口径(≠法定股本144.42亿股·后者见母公司报表);2018+其他应付款含应付股利/应付利息(其中项)。
科目,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
长期应付职工薪酬,,,,,,386092.62,1709175.67,4186187.58,2961464.69,3134429.82,890547.38,5079555.10,7458518.27,5687056.81
递延收益,,,,900000.00,4834000.00,2996576.60,1565892.84,900000.00,900000.00,,,,,
递延所得税负债,19351300.00,23288100.00,36732300.45,42401844.52,66193850.82,228608887.23,200765993.33,202479198.83,221567738.28,286187056.67,227016128.00,184042993.85,170593370.96,173219373.05
非流动负债合计,19351300.00,23288100.00,36732300.45,43301844.52,71027850.82,1081437556.45,1096257061.84,1009875741.52,225429202.97,1102278687.85,970559171.08,1117134811.95,985723906.86,953830264.88
负债合计,2991717800.00,2565991800.00,3155940137.33,7765607367.74,3975473135.40,4996720604.47,4623525918.66,4680727668.11,4373745746.45,6872520191.95,7942749193.15,6319945427.10,5477857016.59,5601022021.05
股本,291278200.00,291278200.00,291278214.05,314370473.30,333658271.10,333658271.10,333658271.10,333658271.10,333658271.10,328300769.56,328300769.56,328300769.56,328300769.56,328300769.56
资本公积,313984600.00,401658200.00,403503907.10,202225917.85,182938120.05,186207960.23,186207960.23,388046005.12,467387210.90,380728904.31,380728904.31,386736887.41,748725959.62,762765828.80
库存股,,,,,,,700298352.98,1530149001.70,1530149001.70,0,,,,
其他综合收益,-700.00,114200.00,111651.45,16801.65,43028216.50,10328362.49,-50924488.44,-235207978.35,-150002548.46,-164725866.90,-485825681.61,-528170443.17,-343111452.68,-546571863.57
盈余公积,211472600.00,218097300.00,218097328.85,76190120.66,145639107.03,156741749.37,192094989.12,269230308.61,269230308.61,0,,,,
未分配利润,5114783700.00,4137842600.00,4646733348.28,4005927770.98,7285662483.72,9685638070.46,14240402712.62,14552831171.87,17626862010.00,17835127169.54,16725685705.43,17506586929.54,16293365706.10,13704710015.90
归属于母公司所有者权益合计,5931518500.00,5048990600.00,5559724449.73,4598731084.44,7990926198.40,10372574413.65,14201141091.65,13778408776.65,17016986250.45,18379430976.51,16948889697.69,17693454143.34,17027280982.60,14249204750.69
少数股东权益,114767800.00,132856700.00,133611373.80,137329593.85,162660495.72,185307828.73,196843365.87,227942788.86,255433073.13,303308518.79,347127625.24,347617378.25,293456967.29,365103723.15
所有者权益合计,6046286300.00,5181847300.00,5693335823.53,4736060678.29,8153586694.12,10557882242.38,14397984457.52,14006351565.51,17272419323.58,18682739495.30,17296017322.93,18041071521.59,17320737949.89,14614308473.84
