# 分众传媒 客户集中度 2018-2025 · 源=各年年报MD&A'主要销售客户情况' · 2018第一大客户为12亿框架合同客户(非关联);2019起第一大关联客户=阿里系
"# 🔴雷达行:2025关联方销售23.66亿占营收18.55%(2024年7.97%→翻倍+)——2025营收+4.05%全靠互联网/阿里关联放量,剔除后为负增长;2012-2017⏳未提取"
科目,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
前五名客户合计销售额(元),,,,,,,2877011907.18,1959783207.50,2271948135.10,3051264681.43,1755541718.97,2415688744.62,3167186933.86,4411449245.28
前五名客户占营收(%),,,,,,,19.77,16.15,18.78,20.57,18.63,20.29,25.82,34.58
前五中关联方销售占营收(%),,,,,,,0.06,4.64,4.98,8.66,5.33,5.62,7.97,18.55
第一大客户销售额(元),,,,,,,1200000000.00,563443225.03,602315872.33,1284671795.25,502066638.59,,981971614.93,2366129080.07
第一大客户占营收(%),,,,,,,8.25,4.64,4.98,8.66,5.33,,8.01,18.55
第一大客户是否关联方,,,,,,,否,是(占比=关联方占比),是(占比=关联方占比),是(占比=关联方占比),是(占比=关联方占比),,否(第二名9.78亿=关联方7.97%),是(占比=关联方占比)
