# 阿迪达斯 分部营收｜单位：€ 百万（1992-1996 由 DM 按 1 EUR=1.95583 DM 折算）｜空 = 该年该口径未披露(非 0)
# 🔴 分部口径六代不可跨代拼接（公司每次重划且不给回溯序列）；2004 起「其他业务」含 Salomon/TaylorMade/Reebok 等已剥离业务，2021 起 Reebok 已剔出
# 取数规则：当年年报当年列；唯一例外=分品牌 2013-2020 取自 2020 年报十年概览（见「来源」列）
地区,F(2021-2023),北美,,,,,,,,,,,,,,,,,,,,,,,,5105,6398,5219,,,各年年报 MD&A「Net sales by segment」当年列
地区,F(2021-2023),大中华,,,,,,,,,,,,,,,,,,,,,,,,4597,3179,3190,,,各年年报 MD&A「Net sales by segment」当年列
地区,F(2021-2023),亚太,,,,,,,,,,,,,,,,,,,,,,,,2180,2241,2254,,,各年年报 MD&A「Net sales by segment」当年列
地区,F(2021-2023),拉美,,,,,,,,,,,,,,,,,,,,,,,,1446,2110,2291,,,各年年报 MD&A「Net sales by segment」当年列
地区,F(2021-2023),其他业务,,,,,,,,,,,,,,,,,,,,,,,,145,150,155,,,各年年报 MD&A「Net sales by segment」当年列
地区,G(2024-2025),欧洲,,,,,,,,,,,,,,,,,,,,,,,,,,,7551,8136,各年年报 MD&A「Net sales by segment」当年列
地区,G(2024-2025),北美,,,,,,,,,,,,,,,,,,,,,,,,,,,5128,5087,各年年报 MD&A「Net sales by segment」当年列
地区,G(2024-2025),大中华,,,,,,,,,,,,,,,,,,,,,,,,,,,3459,3623,各年年报 MD&A「Net sales by segment」当年列
地区,G(2024-2025),新兴市场,,,,,,,,,,,,,,,,,,,,,,,,,,,3310,3510,各年年报 MD&A「Net sales by segment」当年列
地区,G(2024-2025),拉美,,,,,,,,,,,,,,,,,,,,,,,,,,,2772,2926,各年年报 MD&A「Net sales by segment」当年列
地区,G(2024-2025),日本/韩国,,,,,,,,,,,,,,,,,,,,,,,,,,,1339,1406,各年年报 MD&A「Net sales by segment」当年列
地区,G(2024-2025),其他业务,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,各年年报 MD&A「Net sales by segment」当年列
产品,鞋服硬件,鞋类,742.4,695.4,894.2,915.2,1110.0,,,,,,,4642,5389,6275,6922,6873,6658,8360,10135,12427,12783,13521,11128,11336,12402,12139,13975,14232,1992-1996=1996年报五年表；2009-2025=各年年报 MD&A「Net sales by product category/division」当年列
产品,鞋服硬件,服装,537.4,514.9,642.2,781.3,1183.1,,,,,,,4663,5380,5734,6290,5813,6279,6970,7476,7747,8223,8963,7687,8710,8732,7806,8216,8764,1992-1996=1996年报五年表；2009-2025=各年年报 MD&A「Net sales by product category/division」当年列
产品,鞋服硬件,硬件/配件,60.3,59.8,67.5,67.0,92.5,,,,,,,1076,1221,1335,1671,1806,1597,1585,1681,1044,910,1156,1028,1187,1493,1483,1499,1815,1992-1996=1996年报五年表；2009-2025=各年年报 MD&A「Net sales by product category/division」当年列
品牌,多品牌期,adidas 品牌,,,,,,,,,6626,7113,,,,,,11059,11774,13939,16334,18993,19851,21505,18095,,,,,,2006/2007=当年年报 MD&A 正文；2013-2020=2020年报「十年概览」（当年年报只给百分比饼图）
品牌,多品牌期,Reebok 品牌,,,,,,,,,2473,2333,,,,,,1599,1578,1751,1770,1843,1687,1748,1409,,,,,,2006/2007=当年年报 MD&A 正文；2013-2020=2020年报「十年概览」（当年年报只给百分比饼图）
品牌,多品牌期,TaylorMade-adidas Golf,,,,,,,,,856,804,,,,,,,913,902,892,,,,,,,,,,2006/2007=当年年报 MD&A 正文；2013-2020=2020年报「十年概览」（当年年报只给百分比饼图）
品牌,多品牌期,CCM Hockey,,,,,,,,,,,,,,,,,269,317,271,,,,,,,,,,2006/2007=当年年报 MD&A 正文；2013-2020=2020年报「十年概览」（当年年报只给百分比饼图）
渠道,批发/DTC,批发,,,,,,,,,,,,,,,,,,,,,,,,,,,14172,14833,2024/2025 年报 MD&A「Net sales by channel」（更早年份年报只给百分比 → ⏳待补）
渠道,批发/DTC,直营(DTC),,,,,,,,,,,,,,,,,,,,,,,,,,,9490,9931,2024/2025 年报 MD&A「Net sales by channel」（更早年份年报只给百分比 → ⏳待补）
