# 跨申报交叉核分歧登记：同一会计年份在「本年自己的 10-K」与「后续 10-K 的比较列」中数值不一致的全部落点。
"# 检出方法=对每份 10-K 的 2-3 个期间列全量采集后按(科目,会计年份)比对；单位千美元。"
# 处置=「修正」类已在三表 CSV 中采用后续申报值(本年申报自身是 SEC 渲染/filer 标注错误)；「重述」类保留本年 as-reported，跨年比较时须注意。
报表,科目,会计年份,本年申报值,后续申报值,后续申报份数,判定与处置
IS,us-gaap_CostOfGoodsSold,2015,2823302,2639926,2,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
IS,us-gaap_SalesRevenueGoodsNet,2015,3740973,3431587,2,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
CF,tsla_NoncashInterestIncomeExpenseAndOtherOperatingActivities,2016,-7775,-15179,2,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
BS,us-gaap_LongTermDebtAndCapitalLeaseObligations,2017,9415700,9418319,1,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
BS,tsla_AccruedAndOtherCurrentLiabilities,2019,2905000,3222000,1,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
BS,us-gaap_OtherAssetsNoncurrent,2019,808000,1470000,1,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
BS,us-gaap_OtherLiabilitiesNoncurrent,2019,2655000,2691000,1,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
BS,us-gaap_PrepaidExpenseAndOtherAssetsCurrent,2019,713000,959000,1,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
CF,us-gaap_IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,2019,682000,646000,2,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
CF,us-gaap_IncreaseDecreaseInOtherNoncurrentLiabilities,2019,109000,-5000,2,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
IS,us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,2019,177000,887000,2,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
IS,us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,2019,177000,887000,2,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
CF,tsla_NoncashInterestIncomeExpenseAndOtherOperatingActivities,2020,228000,525000,2,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
IS,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax@automotive sales,2020,26184000,24604000,1,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
BS,us-gaap_CommonStockValue,2021,1000,3000,1,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
BS,us-gaap_RetainedEarningsAccumulatedDeficit,2021,331000,329000,1,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
CF,tsla_IncreaseDecreaseInOperatingLeaseVehicles,2021,2114000,-2114000,2,符号相反(本年申报 SEC 渲染未套用 negatedLabel)→按后续申报修正
CF,tsla_PaymentsForBuyOutsOfNoncontrollingInterestsInSubsidiaries,2021,10000,-10000,2,符号相反(本年申报 SEC 渲染未套用 negatedLabel)→按后续申报修正
CF,tsla_PaymentsForSolarEnergySystemsNetOfSales,2021,32000,-32000,2,符号相反(本年申报 SEC 渲染未套用 negatedLabel)→按后续申报修正
CF,tsla_PurchaseOfDigitalAssets,2021,1500000,-1500000,2,符号相反(本年申报 SEC 渲染未套用 negatedLabel)→按后续申报修正
