# 三环集团(300408) 合并现金流量表 · 从一手年报 PDF 解析(核心科目)
# 单位:亿元;负数=流出;空=待逐行 PDF 精解析补齐
# 关键观察:OCF/净利常年 ≥1,2024 OCF 24.03 亿创历史新高;投资流出主要是理财周转,非 capex
# 数据源:report/三环集团/YYYY.pdf 年报「第三节·5、现金流」
年份,经营活动现金流净额(OCF),投资活动现金流净额,筹资活动现金流净额,现金及等价物净变动,期末现金,capex(购建固定/无形/长期资产),分红金额,分红率(payout %)
2018,,,,,,,,
2019,17.15,,,1.89,10.79,5.79,3.48,39.89
2020,11.75,,,,,,4.54,31.55
2021,11.54,,33.28,25.98,,,6.13,30.50
2022,20.74,-38.07,-6.29,-23.52,,,4.79,31.83
2023,17.19,-37.75,1.54,-18.95,,,5.37,33.94
2024,24.03,-13.54,-12.06,-1.57,,,7.28,33.25
2025-H1,,,,,,,,
2026-Q1,,,,,,,,
