科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
收到其他与筹资活动有关的现金,,,,1300000000.0,800000000.0,500000000.0,1800000000.0,1200000000.0,300000000.0,170900000.0,1200000000.0,,300000000.0,1700000000.0,3000000000.0,1800000000.0,3293000000.0,,300000000.0,900000000.0
筹资活动现金流入小计,3017039141.0,4262810078.0,3728055412.0,7939455983.0,2765868670.0,4668436881.0,5145297186.0,5742619031.0,7012909523.0,14061647292.0,10073542158.0,10648891109.0,13564898468.0,16919223239.0,16669218052.0,14323519994.0,14869879866.0,17508736010.0,13033066013.0,15082448766.0
偿还债务支付的现金,-2842957671.0,-3275732994.0,-3554827137.0,-9699628065.0,-3299549995.0,-3120929523.0,-5512693976.0,-5921463731.0,-6254909672.0,-7236350677.0,-7553966708.0,-9989267535.0,-13341532550.0,-14637412694.0,-17571509456.0,-9976147237.0,-13043226475.0,-15885156748.0,-12490915237.0,-12768763005.0
分配股利、利润或偿付利息支付的现金,-208025748.0,-549766369.0,-829652929.0,-213159749.0,-482170488.0,-1297018009.0,-998212184.0,-1210002857.0,-1247214694.0,-1714508880.0,-2035111204.0,-2110837864.0,-3303070399.0,-2310071663.0,-2219213537.0,-2277802231.0,-2907622437.0,-3596607894.0,-3713615661.0,-7314773596.0
支付其他与筹资活动有关的现金,-2500000.0,,,-5366000.0,-3982011.0,-3487000.0,-9064000.0,-6684000.0,-13627266.0,-2722543.0,-59975603.0,-4620000.0,-299581.0,-87275186.0,-158014790.0,-117752796.0,-154914903.0,-307315590.0,-186709479.0,-169301013.0
筹资活动现金流出小计,-3053483419.0,-3825499363.0,-4384480066.0,-9918153814.0,-3785702494.0,-4421434532.0,-6519970160.0,-7138150588.0,-7515751632.0,-8953582100.0,-9649053515.0,-12104725399.0,-16644902530.0,-17034759543.0,-19948737783.0,-12371702264.0,-16105763815.0,-19789080232.0,-16391240377.0,-20252837614.0
筹资活动产生的现金流量净额,-36444278.0,437310715.0,-656424654.0,-1978697831.0,-1019833824.0,247002349.0,-1374672974.0,-1395531557.0,-502842109.0,5108065192.0,424488643.0,-1455834290.0,-3080004062.0,-115536304.0,-3279519731.0,1951817730.0,-1235883949.0,-2280344222.0,-3358174364.0,-5170388848.0
汇率变动对现金及现金等价物的影响,,,,,,,,,-8411501.0,299879113.0,404369292.0,-321331418.0,253287574.0,108931635.0,-376338361.0,-248779129.0,911390875.0,218083729.0,122780850.0,-278829400.0
现金及现金等价物净增加额,-2161994.0,-19296828.0,21957070.0,-3757834.0,14605526.0,653801647.0,-320252085.0,4636316.0,7403351.0,5406908195.0,1292601205.0,-494538703.0,-346639418.0,1995012325.0,455283698.0,5517369927.0,-2087460605.0,1113388083.0,5382524738.0,507011171.0
期初现金及现金等价物余额,142389762.0,140227768.0,120930940.0,142888010.0,139130176.0,153735702.0,807537349.0,487285264.0,491921580.0,499324931.0,5906233126.0,7198834331.0,6704295628.0,6357656210.0,8352668535.0,8807952233.0,14325322160.0,12237861555.0,13351249638.0,18733774376.0
期末现金及现金等价物余额,140227768.0,120930940.0,142888010.0,139130176.0,153735702.0,807537349.0,487285264.0,491921580.0,499324931.0,5906233126.0,7198834331.0,6704295628.0,6357656210.0,8352668535.0,8807952233.0,14325322160.0,12237861555.0,13351249638.0,18733774376.0,19240785547.0
