"# 单位: 人民币百万元 (RMB million), 来源: 年报第三节 MD&A 分产品/分渠道表"
"# 2001-2011 茅台酒=高度+低度+陈年(合并); 系列酒=王子+迎宾+其他(合并); 2005-06其他系列酒<10%未单独披露·差值推算"
"# 2012+ 年报直接披露茅台酒/系列酒(或其他系列酒); 渠道拆分(直销/批发)从2017年报起首次披露·2018年报未找到渠道拆分"
科目,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
茅台酒,1560,1775,2320,2879,3792,4691,6702,7767,8916,10849,16951,24033,29055,30637,31546,36714,52394,65487,75802,84831,93465,107834,126589,145928,146500
系列酒,58,60,81,131,139,205,536,474,753,783,1451,2423,1866,935,1108,2127,5774,8077,9542,9991,12595,15939,20630,24684,22275
直销,,,,,,,,,,,,,,,,,,7249,13240,24029,49379,67233,74843,84543
批发代理,,,,,,,,,,,,,,,,,,78096,81582,82030,74394,79986,95769,84232
主营业务收入合计,1618,1835,2401,3010,3931,4896,7237,8242,9670,11632,18402,26455,30921,31573,32654,38841,58169,73565,85345,94822,106059,123772,147219,170612,168775
