科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
应付账款,501903587.7,469251655.23,921466820.14,57332311.5,88059924.16,88059924.16,127140859.45,222389019.36,154233615.34,142606536.43,146393077.89,87419834.98,146054236.74,86819605.55,867671236.16,682732769.54,940559332.34,1295637007.14,1611453394.01,1468707269.07
合同负债,,,,52622128.01,24950050.91,42803674.96,,72155058.13,98063452.09,88658056.53,96941751.67,10378175.16,9789564.53,9164940.98,48910.52,13389470.26,8760834.09,14932731.05,265512523.56,181189318.46
应付职工薪酬,37472845.22,39586877.22,40015272.83,44049246.32,46272475.73,49727359.34,53105093.27,57011800.28,62971702.17,74673333.36,90168894.28,90162772.29,104036148.53,120539909.11,219231174.29,254195056.07,329742120.2,367536489.54,405790885.85,497291436.06
应交税费,882001377.56,902629961.59,743055399.22,785302529.55,1153872670.27,635328982.42,1407563899.19,859691546.83,1503119243.71,790681443.67,1309230305.77,2212591349.13,2244216343.78,2106242913.91,4235444499.44,4716410703.94,1847918351.8,2512931010.73,2856643401.97,2721847865.25
其他应付款,317619981.35,444848236.03,1021452486.39,12264460614.35,794302494.67,411637756.2,339485004.37,616314701.01,756473245.79,729735291.37,21383192180.14,20010812181.16,19336945056.05,21042264353.26,16960189786.68,13470287522.53,11150612409.93,35887456989.5,35455619984.96,25918236332.75
一年内到期的非流动负债,,,,11524989687.2,30703033615.8,24566987679.25,462235453.57,339021859.29,11700873312.12,13303863545.96,17669257618.09,13507522151.39,15297687123.29,2499762842.57,23924325034.79,17440128682.74,8196293261.01,48048632647.39,46858529705.19,70204456814.1
其他流动负债,,,,,,,11484470304.68,8984427397.24,5989315068.48,2993737704.91,3998288888.89,3498822877.35,6496298972.17,7998650574.74,7500533260.58,4502059923.29,3230604702.92,1717762447.92,2410005393.88,2766855488.65
流动负债合计,7965047671.65,10054165252.04,8569498547.67,27226286470.63,59221950276.81,59223893807.38,49714645794.77,38788755062.05,20880173692.07,18648184708.43,62110601357.56,59702985789.55,56827192037.0,55958549831.05,78466607623.54,53406216174.22,52458333859.58,143871094361.83,159555986800.91,118939692466.15
长期借款,8500000000.0,6800000000.0,6800000000.0,51071582620.94,12371274674.42,11689065682.06,11222701990.76,13346992263.28,20519189122.85,12745281287.59,26852435923.0,31500000000.0,26000000000.0,24600000000.0,14447141791.44,36439373166.26,38617506722.4,186690130706.94,158588389980.42,172310624303.31
应付债券,,3950617833.34,3955726333.34,20344558635.47,18363523140.42,18378524937.82,18393542826.37,18408544623.68,18423462421.01,18419337337.79,27655276169.59,30151107574.75,34265894787.06,43794792492.21,37527057075.03,33978897510.99,37620231630.91,25835606999.89,21740804827.43,29780996027.99
永续债,,,,,,,,,,,,,,,,,,,,
租赁负债,,,,,,,,,,,,,,,,639176461.52,620996116.15,577045537.38,582748581.41,508976801.84
长期应付款,,,,,,,,,,,52688753776.74,41232945436.94,34632945436.94,21232945436.94,20080756020.71,11855875004.42,,,,
预计负债,,,,,,,,,,,,,,,16245669.92,18434099.44,50640048.92,56720903.03,136004704.75,125826015.28
递延收益,,,,,,,,,,,,,6229112.34,5833758.06,7276220.13,5903248.03,8178437.54,11623647.69,20182962.73,22835319.02
递延所得税负债,2248998897.54,2256069635.19,847119094.56,1349319394.79,1338896913.65,847121216.53,1014690043.29,881669173.5,1034801359.7,829726833.75,1061502472.65,1292343515.04,1080174205.16,874792997.65,1960405682.52,1931183085.62,2138289001.46,2601502361.81,3491968220.93,4158727795.6
其他非流动负债,,,,,,,,,,,,,,,,,,,,
非流动负债合计,10748998897.54,13006687468.53,11602845427.9,72765460651.2,32073694728.49,30914711836.41,30630934860.42,32637206060.46,39977452903.56,31994345459.13,108257968341.98,104176396526.73,95985243541.5,90508364684.86,74038882459.75,84868842576.28,79055841957.38,215772630156.74,184560099277.67,206907986263.04
负债合计,18714046569.19,23060852720.57,20172343975.57,99991747121.83,91295645005.3,90138605643.79,80345580655.19,71425961122.51,60857626595.63,50642530167.56,170368569699.54,163879382316.28,152812435578.5,146466914515.91,152505490083.29,138275058750.5,131514175816.96,359643724518.57,344116086078.58,325847678729.19
股本,8186737600.0,9412085457.0,9412085457.0,11000000000.0,16500000000.0,16500000000.0,16500000000.0,16500000000.0,16500000000.0,16500000000.0,22000000000.0,22000000000.0,22000000000.0,22000000000.0,22741859230.0,22741859230.0,22741859230.0,24468217716.0,24468217716.0,24468217716.0
其他权益工具,,,,,,,,,,,,,,,,,,,,
资本公积,14813901208.69,22762314517.79,17939494519.52,37894382969.82,32011750167.25,30621685019.9,31110419337.96,30814055563.55,27816521305.26,28549171977.42,44252595253.07,44322910497.79,44295503166.39,44364313786.27,56928124174.94,56915340256.97,57099421111.09,63490865604.91,63717681344.83,63548783235.01
其他综合收益,,,,,,-9310936.86,-9333931.36,-13569174.22,3511250475.02,2702742280.4,3440409201.9,3698950231.1,3187914292.67,2352431567.6,313556807.71,318915804.42,1786297242.2,2002638310.52,3240228916.5,3441457834.64
专项储备,,,,,,,,0.0,,,,,,,,,,771620.16,82402978.14,73450059.39
盈余公积,1695254791.17,2769751368.25,3551104306.51,4485818295.3,6109071251.54,7249661996.14,9353846555.4,11133403748.4,13578390377.98,15851697987.1,19463936245.63,21790477026.69,24319522433.93,24319522433.93,24319522433.93,24319522433.93,24319522433.93,24967736455.15,24968300565.59,24968300565.59
未分配利润,4225944848.65,6309079207.27,6664404282.27,8479561133.92,11539490118.67,13878269308.24,17924865710.27,19745144606.22,24728003586.16,27719522393.64,39042244267.58,43289114811.42,48400469257.13,56473906836.25,67815084345.02,76768181760.95,79541150599.6,86399795810.95,93811579374.91,104837801229.29
归属于母公司股东权益合计,28921838448.51,41253230550.31,37567088565.3,61859762399.04,66160311537.46,68240305387.42,74879797672.27,78179034743.93,86134165744.42,91323134638.56,128199184968.18,135101452567.0,142203409150.12,149510174624.05,172118146991.6,181063819486.27,185488250616.82,201330025517.69,210288410895.97,221338010639.92
少数股东权益,,,,9275978.68,5191205.24,6115413.03,7467169.32,2201407.28,2328268.43,32230830.94,327177270.68,417385232.14,481143916.91,505791900.93,6203459484.14,9224403402.43,10265858613.55,10968794873.03,11667482817.79,12022650677.73
所有者权益合计,28921838448.51,41253230550.31,37567088565.3,61869038377.72,66165502742.7,68246420800.45,74887264841.59,78181236151.23,86136494012.85,91355365469.5,128526362238.86,135518837799.14,142684553067.03,150015966524.98,178321606475.74,190288222888.7,195754109230.37,212298820390.72,221955893713.76,233360661317.65
