科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
筹资活动现金流入小计,7822000000.0,22927217979.78,10000000000.0,36453700000.0,45190000000.0,31440000000.0,45500900000.0,28400000000.0,39250000000.0,15094800000.0,99558062284.47,70208200000.0,73123695083.32,87122964416.74,119999325383.03,79369217254.58,59700126660.0,169522416956.44,130602878655.79,161595784700.1
偿还债务支付的现金,8590000000.0,11842000000.0,12462250000.0,17756514719.95,41820338174.19,31209615273.21,56268719837.19,36853423435.43,50722383282.37,24211317823.68,68896499540.06,64931190887.0,73156600699.31,81704081939.0,95990337350.22,80388318465.26,52595440393.93,123435602437.41,144184043996.25,168073820413.41
分配股利、利润或偿付利息支付的现金,2127129064.03,3012248030.35,3765374919.16,3772393146.0,7899605709.33,8407670132.18,8809525369.05,9407190510.15,8086775886.27,9155434508.33,17346041596.52,19591328944.73,18946766585.68,18643807212.31,19291552358.96,20007782816.36,22543880095.07,35672380743.88,31633479332.54,34191120693.3
支付其他与筹资活动有关的现金,20350000.0,25925000.0,21461450.0,323532.5,88772936.53,71125491.56,60655210.0,58706192.75,55363631.4,56768167.24,9245208019.01,13718193325.23,11493584948.5,14648665135.5,7724761705.94,7353856997.34,12144735080.24,65216717718.08,4979106125.14,3675245525.01
筹资活动现金流出小计,10737479064.03,14880173030.35,16249086369.16,21529231398.45,49808716820.05,39688410896.95,65138900416.24,46319320138.33,58864522800.04,33423520499.25,95487749155.59,98240713156.96,103596952233.49,114996554286.81,123006651415.12,107749958278.96,87284055569.24,224324700899.37,180796629453.93,205940186631.72
筹资活动产生的现金流量净额,-2915479064.03,8047044949.43,-6249086369.16,14924468601.55,-4618716820.05,-8248410896.95,-19638000416.24,-17919320138.33,-19614522800.04,-18328720499.25,4070313128.88,-28032513156.96,-30473257150.17,-27873589870.07,-3007326032.09,-28380741024.38,-27583928909.24,-54802283942.93,-50193750798.14,-44344401931.62
汇率变动对现金及现金等价物的影响,,,,,0.0,-436207.76,-29813.77,-326970.67,-5699121.4,481494.17,9724806.29,-34999823.89,96947209.7,24080600.22,-86009125.31,-85945498.2,141690153.9,27542956.08,17079752.54,5552475.84
现金及现金等价物净增加额,1852724214.73,275227123.49,-327884313.58,-608639254.14,-213607258.05,1855379611.93,-2207770296.72,715660226.21,849912457.28,742145555.44,-1159873025.34,1830475021.48,134251903.22,1983455803.98,1906272811.77,700565807.88,-622598093.1,-2862005556.29,-1303406115.58,-1990682583.59
期初现金及现金等价物余额,670444364.68,2523168579.41,2798395702.9,2722801249.25,2114161995.11,1900554737.06,3755934348.99,1548164052.27,2263824278.48,3113736735.76,4529631276.68,3369758251.34,5200233272.82,5334485176.04,7317940980.02,9224213791.79,9924779599.67,10628364964.92,7811570259.5,6525546969.61
期末现金及现金等价物余额,2523168579.41,2798395702.9,2470511389.32,2114161995.11,1900554737.06,3755934348.99,1548164052.27,2263824278.48,3113736735.76,3855882291.2,3369758251.34,5200233272.82,5334485176.04,7317940980.02,9224213791.79,9924779599.67,9302181506.57,7766359408.63,6508164143.92,4534864386.02
