# 分部营收（特步国际 01368.HK）· 单位：人民币百万元
# 来源：各年年报附注（收入附注=按产品；经营分部附注=按品牌分部）；一律取当年年报当年列，禁用后一年同比%反推
# 按品牌分部 2019 年起披露（此前单一分部）；Athleisure 2024 年起因 KP Global 出售列终止经营而退出分部表
# 「经营溢利-」开头的行 = 分部经营溢利（Segment results），2020 年起披露；新品牌培育期为负
# 勾稽：分产品和 = 分品牌和 = 利润表营业额（各自差异 <3%）；分部经营溢利和 + 未分配开支 == 利润表经营溢利（恒等式）——四路都跑通才写出
分部,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
鞋类,294.817,441.948,849.135,1454.596,1619.132,1955.879,2489.629,2700.08,2246.851,3042.857,3258.137,3525.35,3257.797,3924.962,4653.13,5046.754,5928.167,7760.191,8171.956,8054.455,8420.019
服装,2.628,40.596,497.635,1350.976,1874.461,2421.105,2950.063,2746.181,2011.947,1687.552,1926.639,1764.81,1759.46,2326.861,3344.42,2963.854,3887.404,4896.939,5903.485,5226.166,5451.243
配饰,,1.018,18.177,61.609,51.743,80.214,99.946,104.004,84.307,47.239,110.341,106.455,96.177,131.342,185.171,161.315,197.668,273.255,270.067,296.601,279.824
大众运动(特步主品牌),,,,,,,,,,,,,,,,7101.106,8841.266,11127.864,11947.344,12326.919,12515.127
专业运动(索康尼+迈乐),,,,,,,,,,,,,,,,71.744,201.016,400.049,795.531,1250.303,1635.959
Athleisure(K-Swiss+Palladium),,,,,,,,,,,,,,,,999.073,970.957,1402.472,1602.633,,
经营溢利-大众运动(特步主品牌),,,,,,,,,,,,,,,,1106.345,1607.586,1758.579,1891.009,1954.492,1919.712
经营溢利-专业运动(索康尼+迈乐),,,,,,,,,,,,,,,,-29.95,-40.24,-19.62,8.414,78.207,114.469
经营溢利-Athleisure(K-Swiss+Palladium),,,,,,,,,,,,,,,,-103.882,-87.652,-188.703,-183.894,,
