# 单位：台；来源：各年年报「产销量情况分析表」当年列。一体轮电机 2021 年起单独披露；2019-2020 未单列
科目,2019,2020,2021,2022,2023,2024,2025
中置电机-生产量,323190,428480,548390,509849,235076,174056,179081
中置电机-销售量,308622,396811,553330,510453,247830,167839,170421
中置电机-期末库存量,40330,65600,45971,48841,21942,21721,23432
轮毂电机-生产量,695371,974013,1553055,1107820,750427,878660,1067338
轮毂电机-销售量,682138,863820,1573991,1132272,767243,857442,1032398
轮毂电机-期末库存量,79437,163393,88734,55285,31010,44014,64474
一体轮电机-生产量,,,2884572,4248959,3026730,1962328,2512260
一体轮电机-销售量,,,2860492,4135174,3055962,1899594,2513825
一体轮电机-期末库存量,,,32119,113895,40848,40054,23832
