科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
应交税费,82310458.91,240723168.49,376133004.99,479733879.83,751809618.12,1224239026.46,1257576886.13,86198017.85,109103058.73,286300625.23,308976780.32,988228028.52,1648028076.07,1633044231.67,2046027211.13,3173479627.79,3481150728.98,2939627533.0,3233948597.08,1612884069.81
其他应付款,135464402.91,429855623.94,149735782.13,186067183.19,227809323.64,399390389.81,410918505.15,483143380.23,411697617.51,385631047.68,711062991.21,538692435.55,602887024.88,698942399.37,501623924.54,652393292.6,1202409278.49,1150721162.53,873595429.08,615753466.88
一年内到期的非流动负债,20000000.0,,,,,,,,,,,,,,72219178.08,86202215.03,81879466.63,78918152.41,3276628616.74,4074199213.05
其他流动负债,,,,106134.26,3645169.0,6177028.11,8926930.63,9695444.43,,,,,,,218267353.36,456314391.17,333627225.47,347485071.57,516729820.48,436920270.99
流动负债合计,1206731207.84,1778795726.02,1598632768.44,1717068212.43,2455256886.73,5244793594.61,5772049980.16,3063444812.41,3333447021.72,2713446593.14,2775591711.51,4367225067.9,5415483438.47,6787078920.19,7747571778.61,10946958438.33,10652141888.68,10070829218.3,14277111968.03,12004359001.08
长期借款,,,,,,,,,,,,,,,,,3179600000.0,10000300000.0,6279900000.0,2627166310.93
应付债券,,,,,,,,,,,,,,2490883676.39,3987872100.02,3990785742.23,2996099571.86,1498716737.02,,
租赁负债,,,,,,,,,,,,,,,,40667668.08,29096969.66,22356404.47,24528519.13,15693190.61
递延收益,,,,,,,,,38740986.14,32955178.61,29913897.37,19992728.85,20981155.0,23845000.0,29739000.0,28531014.28,33704323.8,27772083.74,86672726.83,82513945.77
递延所得税负债,6254885.12,,,,,,,,3647478.61,72449617.04,55963516.06,55941136.35,44252383.96,63430453.64,62151071.11,67578019.93,166043663.88,142773028.22,158375714.88,171180022.42
其他非流动负债,206000.0,2299896.65,1606000.0,1167476.85,8654323.7,7598849.2,30069377.46,33423611.15,,,,,,,,,,,,
