科目(单位:元;比率行为%),2020,2021,2022,2023,2024,2025
中高档酒类营业收入,14236990348.38,18397360159.99,22132546058.64,26841342073.14,27585319704.62,22967954695.59
其他酒类营业收入,2210970220.84,2017810309.1,2633575939.85,3235936786.44,3467333632.93,2637587357.62
其他收入(非酒),204893980.58,227091255.28,357441273.13,156022528.68,143594870.78,125468594.11
境内,16602974426.77,20558860984.1,24970484945.58,30056130668.72,31010093741.29,25534165136.8
境外,49880123.03,83400740.27,153078326.04,177170719.54,186154467.04,196845510.52
传统渠道,15693989192.05,19523560616.72,23302396093.43,28657038767.86,29573326673.25,24220039994.92
新兴渠道,753971377.17,891609852.37,1463725905.06,1420240091.72,1479326664.3,1385502058.29
中高档占酒类比(%),86.56,90.12,89.37,89.24,88.83,89.7
中高档营收同比(%),,29.22,20.3,21.28,2.77,-16.74
