报告期,全面收益总额,其他全面收益,其他全面收益其他项目,其他支出,其他收入,少数股东损益,持续经营业务税后利润,本公司拥有人应占全面收益总额,每股基本盈利,每股摊薄盈利,毛利,税项,经营溢利,股东应占溢利,营业额,营运收入,融资成本,行政开支,销售及分销费用,销售成本,除税前溢利,除税后溢利,非控股权益应占全面收益总额,非运算项目
2025-12-31,15868224000.0,-50000.0,-50000.0,291002000.0,1719977000.0,,15868274000.0,15868224000.0,1.411,1.411,31808104000.0,5049319000.0,20984492000.0,15868274000.0,52552910000.0,52552910000.0,66899000.0,2452127000.0,9800460000.0,20744806000.0,20917593000.0,15868274000.0,,-20744806000.0
2024-12-31,12123713000.0,409000.0,409000.0,29561000.0,2128940000.0,,12123304000.0,12123713000.0,1.078,1.078,24915715000.0,3664554000.0,15879327000.0,12123304000.0,42895992000.0,42895992000.0,91469000.0,1962470000.0,9173297000.0,17980277000.0,15787858000.0,12123304000.0,,-17980277000.0
2023-12-31,12079158000.0,-340000.0,-340000.0,13946000.0,1841454000.0,,12079498000.0,12079158000.0,1.074,1.074,25406829000.0,3608704000.0,15787937000.0,12079498000.0,42667221000.0,42667221000.0,99735000.0,2162401000.0,9283999000.0,17260392000.0,15688202000.0,12079498000.0,,-17260732000.0
2022-12-31,8497085000.0,1835000.0,1835000.0,22394000.0,1709159000.0,,8495250000.0,8497085000.0,0.76,0.76,19095411000.0,2555082000.0,11126360000.0,8495250000.0,33239187000.0,33239187000.0,76028000.0,1835125000.0,7820691000.0,14143776000.0,11050332000.0,8495250000.0,,-14141941000.0
2021-12-31,7161251000.0,-543000.0,-543000.0,138536000.0,873562000.0,,7161794000.0,7161251000.0,0.64,0.64,17656218000.0,2192506000.0,9407245000.0,7161794000.0,29696406000.0,29696406000.0,52945000.0,1750929000.0,7233070000.0,12040188000.0,9354300000.0,7161794000.0,,-12040731000.0
2020-12-31,5276124000.0,-1302000.0,-1302000.0,249097000.0,640941000.0,,,5276124000.0,0.48,0.48,13508327000.0,1708827000.0,7065216000.0,5277426000.0,22877297000.0,22877297000.0,78963000.0,1324448000.0,5510507000.0,9368970000.0,6986253000.0,5277426000.0,,5276124000.0
2019-12-31,4956640000.0,2396000.0,2396000.0,371405000.0,773959000.0,5676000.0,,4950124000.0,0.46,0.46,13310631000.0,1544516000.0,6514285000.0,4948568000.0,24021041000.0,24021041000.0,15525000.0,1382507000.0,5816393000.0,10710410000.0,6498760000.0,4954244000.0,6516000.0,2396000.0
2018-12-31,3611997000.0,285000.0,285000.0,404340000.0,533548000.0,5653000.0,,3606311000.0,0.33,0.33,10920834000.0,1151526000.0,4767351000.0,3606059000.0,20475045000.0,20475045000.0,4113000.0,1065167000.0,5217524000.0,9554211000.0,4763238000.0,3611712000.0,5686000.0,285000.0
2017-12-31,3383623000.0,-2326000.0,-2326000.0,18858000.0,402387000.0,5540000.0,,3378815000.0,0.31,0.31,9809274000.0,1049021000.0,4443351000.0,3380409000.0,17491214000.0,17491214000.0,8381000.0,859485000.0,4889967000.0,7681940000.0,4434970000.0,3385949000.0,4808000.0,-2326000.0
