报告期,偿还借款,偿还融资租赁,减:出售资产之溢利,减:利息收入,减:汇兑收益,减:重估盈余,出售附属公司,加:减值及拨备,加:利息支出,加:折旧及摊销,加:经营调整其他项目,加:购股权开支,发行相关费用,发行股份,吸收投资所得,回购股份,处置固定资产,处置无形资产及其他资产,存款(增加)减少,存款减少(增加),存货(增加)减少,已付利息(经营),已付税项,已付股息(融资),已收利息(经营),应付帐款及应计费用增加(减少),应收帐款减少,投资业务现金净额,投资支付现金,收回投资所得现金,收购附属公司,政府补助(投资),新增借款,期初现金,期末现金,期间变动其他项目,现金净额,经营业务现金净额,经营产生现金,营运资本变动其他项目,营运资金变动前经营溢利,融资业务其他项目,融资业务现金净额,融资前现金净额,购买子公司少数股权而支付的现金,购建固定资产,购建无形资产及其他资产,除税前溢利(业务利润),非运算项目,预付款项、按金及其他应收款项减少(增加),预收账款、按金及其他应付款增加(减少)
2025-12-31,16841182000.0,130463000.0,107150000.0,579671000.0,-147298000.0,45354000.0,,84973000.0,66899000.0,3392558000.0,46472000.0,,,76475000.0,,221552000.0,27271000.0,,-449000.0,1058786000.0,-916212000.0,60720000.0,4466550000.0,8547314000.0,29967000.0,154836000.0,-21192000.0,-11494415000.0,53758000000.0,47903342000.0,,70285000.0,17605749000.0,2416380000.0,3857749000.0,-147581000.0,1588950000.0,21141652000.0,25638955000.0,629002000.0,23923618000.0,,-8058287000.0,9647237000.0,,6481304000.0,314795000.0,20917593000.0,29980715000.0,-164623000.0,2033975000.0
2024-12-31,15739304000.0,135183000.0,41215000.0,866098000.0,75092000.0,9438000.0,,4889000.0,91469000.0,2874701000.0,-18798000.0,,,,,,40043000.0,,-5000000.0,3347540000.0,-1921318000.0,91588000.0,4041273000.0,8434850000.0,342220000.0,-270701000.0,-36780000.0,-4501597000.0,15613000000.0,14143952000.0,,40657000.0,16244237000.0,3875720000.0,2416380000.0,81889000.0,-1541229000.0,11022144000.0,14812785000.0,-19363000.0,17748276000.0,,-8061776000.0,6520547000.0,-3324000.0,6405992000.0,54797000.0,15787858000.0,26185690000.0,-530149000.0,-152180000.0
2023-12-31,13471835000.0,80981000.0,-5464000.0,991247000.0,46023000.0,,,6327000.0,99735000.0,2631442000.0,-20505000.0,25857000.0,,,,,26528000.0,,382000.0,-9479738000.0,-983357000.0,99703000.0,3395627000.0,7646313000.0,202485000.0,345029000.0,-72603000.0,-14283814000.0,,,,32146000.0,14167329000.0,7821114000.0,3875720000.0,55537000.0,-4000931000.0,17304937000.0,20597782000.0,907731000.0,17399252000.0,,-7022054000.0,3021123000.0,-9746000.0,4714113000.0,148637000.0,15688202000.0,33387372000.0,-177579000.0,3178927000.0
2022-12-31,6563000000.0,81677000.0,-15090000.0,623360000.0,386615000.0,2289000.0,,12223000.0,76028000.0,2486925000.0,-25799000.0,101793000.0,,,,225401000.0,79947000.0,,589000.0,-5413943000.0,-315514000.0,76049000.0,2308380000.0,5059118000.0,312530000.0,271936000.0,1123000.0,-9426326000.0,,207043000.0,,52669000.0,6488006000.0,10187896000.0,7821114000.0,387816000.0,-2754598000.0,12041510000.0,14113409000.0,326238000.0,12704328000.0,71408000.0,-5369782000.0,2615184000.0,,4193347000.0,158695000.0,11050332000.0,15642228000.0,-153000.0,1124862000.0
2021-12-31,2943957000.0,67603000.0,-2472000.0,330656000.0,-115632000.0,4754000.0,,8747000.0,52945000.0,2378186000.0,-23785000.0,,,,,,11890000.0,,-3648000.0,-2660542000.0,-3776000.0,52837000.0,2034681000.0,1911899000.0,252269000.0,271333000.0,-130113000.0,-5315751000.0,200000000.0,,,21063000.0,3030000000.0,6055981000.0,10187896000.0,-59145000.0,4191060000.0,11400270000.0,13235519000.0,103629000.0,11553087000.0,,-1893459000.0,6084519000.0,,2462418000.0,25744000.0,9354300000.0,36280830000.0,381622000.0,1063385000.0
2020-12-31,2850000000.0,32443000.0,3019000.0,147893000.0,-241604000.0,,72682000.0,1943000.0,78963000.0,1925448000.0,-45597000.0,,228810000.0,8542860000.0,,,74314000.0,1152000.0,,-2590361000.0,-78113000.0,78963000.0,1386300000.0,7979760000.0,147893000.0,163003000.0,-118753000.0,-4656694000.0,,,,64781000.0,4263957000.0,783142000.0,6055981000.0,-215444000.0,5488283000.0,8429173000.0,9746543000.0,181474000.0,9037702000.0,,1715804000.0,3772479000.0,,2236039000.0,43223000.0,6986253000.0,21230842000.0,104157000.0,457073000.0
2019-12-31,,49817000.0,37289000.0,216933000.0,,35750000.0,11203000.0,-4618000.0,15525000.0,1733573000.0,-30299000.0,156894000.0,,,,,375243000.0,184000.0,5634000.0,3500000000.0,136590000.0,15525000.0,1511211000.0,9617600000.0,271870000.0,-43055000.0,-92480000.0,643032000.0,,,,69460000.0,1000000000.0,1363664000.0,783142000.0,1409000.0,-581931000.0,7471839000.0,8726705000.0,295167000.0,8079863000.0,,-8696802000.0,8114871000.0,29385000.0,3230597000.0,82461000.0,6498760000.0,2649426000.0,98485000.0,246501000.0
2018-12-31,50000000.0,44529000.0,-5512000.0,205513000.0,,-14193000.0,,7237000.0,4113000.0,1394741000.0,-24184000.0,,,,100000000.0,,43467000.0,4304000.0,43325000.0,-265000000.0,-463514000.0,4179000.0,1175891000.0,367200000.0,185287000.0,16285000.0,-30185000.0,-3674074000.0,,,9234000.0,3945000.0,,862883000.0,1363664000.0,1858000.0,498923000.0,4629726000.0,5624509000.0,230337000.0,5959337000.0,-95000000.0,-456729000.0,,,3336910000.0,114646000.0,4763238000.0,,-574071000.0,442995000.0
2017-12-31,104500000.0,22461000.0,-7343000.0,136760000.0,,1779000.0,,3844000.0,8381000.0,1159784000.0,-19566000.0,,,,,,31831000.0,7196000.0,38817000.0,-2415000000.0,-339659000.0,9556000.0,868741000.0,367200000.0,95438000.0,-81398000.0,-75717000.0,-4646232000.0,,,,101890000.0,50000000.0,1256547000.0,862883000.0,-671000.0,-392993000.0,4697400000.0,5480259000.0,158309000.0,5456217000.0,,-444161000.0,,,2272876000.0,99273000.0,4434970000.0,,-206885000.0,530575000.0
