科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
应交税费,273357921.24,336286476.05,243524625.73,191592217.32,255041521.69,595644733.03,534767813.33,560374609.87,295605736.13,361350770.8,473994045.5,567776458.14,1443547253.76,1169534434.15,1795736202.57,769033949.34,1365852718.44,2048120393.74,1232818867.55,1909696083.13
应付股利,5550500.6,4824158.6,4519580.25,4502440.25,6733162.86,7798975.36,2487388.96,2436988.96,2436988.96,2436988.96,2549564.96,2436988.96,5973370.96,6857466.46,2436988.96,2436988.96,2436988.96,2436988.96,2436988.96,2436988.96
其他应付款,31533224.2,30328632.01,75472033.73,90471090.7,91118821.14,146843502.01,186407333.71,231431788.49,261071921.58,272597089.79,263472450.23,266904931.73,691657633.07,826483971.39,942505641.87,1411047340.57,1803053354.01,953982037.62,1038968713.14,1244684888.4
一年内到期的非流动负债,,,,,,,,,,,,,,,,13225596.86,8519070.6,345036940.76,360020121.83,189055887.22
其他流动负债,,,,,,,,,,,,,,,403902886.08,711662375.0,476956786.05,394635516.3,483122097.95,306662043.45
流动负债合计,451149396.82,484413137.67,527953142.35,716449282.46,1396194419.32,2330438645.02,2487546212.74,1940519742.13,1850392863.26,2209455543.81,2568948782.65,3583930388.95,5591449398.41,8388661674.61,9629334958.82,14265172429.54,14846455198.24,15146667046.24,17963186602.43,16049040314.63
租赁负债,,,,,,,,,,,,,,,,15868149.73,7351270.61,533659018.3,185964451.33,7788227.26
递延收益,,,,,,,,,,,,,12383333.33,12050000.0,28090000.0,25208916.67,22099916.67,119990916.67,116881916.67,113772916.67
递延所得税负债,,,,,,,,,,1918003.88,1457986.25,1217501.51,4456165.84,15340372.19,30571179.78,36480458.17,51674656.06,56809.74,,621368.69
非流动负债合计,,,,,,,,,,1918003.88,10642188.31,17142755.51,37858907.11,54519683.49,84263218.99,102631590.5,98520913.46,674101103.28,327528626.93,139965019.31
负债合计,451149396.82,484413137.67,527953142.35,716449282.46,1396194419.32,2330438645.02,2487546212.74,1940519742.13,1850392863.26,2211373547.69,2579590970.96,3601073144.46,5629308305.52,8443181358.1,9713598177.81,14367804020.04,14944976111.7,15820768149.52,18290715229.36,16189005333.94
